Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02001358,1,110,500,21.9%
England,E02001359,3,165,455,36.4%
England,E02001360,1,125,610,20.9%
England,E02001361,3,185,575,32.1%
England,E02001362,2,205,650,31.1%
England,E02001363,1,135,590,22.7%
England,E02001364,1,90,430,21.4%
England,E02001365,1,145,665,21.5%
England,E02001366,2,170,670,25.5%
England,E02001367,4,310,640,48.6%
England,E02001368,1,85,420,20.7%
England,E02001369,1,95,420,22.0%
England,E02001370,1,90,405,22.7%
England,E02001371,1,100,590,17.1%
England,E02001372,2,140,470,29.4%
England,E02001373,2,200,700,28.6%
England,E02001374,2,115,435,26.1%
England,E02001375,2,140,525,26.7%
England,E02001376,1,75,440,17.4%
England,E02001377,2,95,390,24.0%
England,E02001378,2,155,495,31.1%
England,E02001380,4,270,575,46.7%
England,E02001381,1,105,455,23.1%
England,E02001382,5,270,535,50.6%
England,E02001383,2,80,300,26.7%
England,E02001384,3,120,375,32.2%
England,E02001385,2,140,525,26.7%
England,E02001386,1,120,610,20.0%
England,E02001387,5,380,600,63.2%
England,E02001388,3,125,335,38.0%
England,E02001389,3,60,175,32.8%
England,E02001390,1,110,615,18.1%
England,E02001391,1,105,540,19.1%
England,E02001392,5,175,300,58.5%
England,E02001393,5,385,520,74.1%
England,E02001394,5,125,255,49.6%
England,E02001395,5,175,350,50.0%
England,E02001396,2,110,420,26.4%
England,E02001397,4,205,415,49.2%
England,E02001398,4,135,290,45.9%
England,E02001399,5,265,520,50.4%
England,E02001400,3,185,565,32.6%
England,E02001401,4,220,510,43.3%
England,E02001402,5,255,410,61.6%
England,E02001403,1,85,415,20.9%
England,E02001404,1,110,580,19.1%
England,E02001405,1,90,780,11.4%
England,E02001406,5,275,540,50.9%
England,E02001407,4,190,390,48.6%
England,E02001408,3,155,435,36.1%
England,E02001409,2,210,710,29.8%
England,E02001410,1,90,420,21.2%
England,E02001411,2,110,385,28.8%
England,E02001412,4,300,645,46.9%
England,E02001413,3,225,695,32.0%
England,E02001414,5,210,355,58.8%
England,E02001415,2,115,460,24.9%
England,E02001416,1,60,440,13.8%
England,E02001417,2,110,430,25.4%
England,E02001418,2,85,330,25.3%
England,E02001419,1,90,465,19.5%
England,E02001420,2,220,785,28.0%
England,E02001421,3,240,730,33.1%
England,E02001422,1,80,505,15.8%
England,E02001423,5,245,445,54.7%
England,E02001424,2,260,995,26.2%
England,E02001425,2,235,755,31.3%
England,E02001426,3,135,400,33.6%
England,E02001427,2,190,740,25.5%
England,E02001428,5,190,370,51.9%
England,E02001429,2,120,410,29.7%
England,E02001430,4,200,460,43.3%
England,E02001431,5,200,335,59.1%
England,E02001432,4,105,245,42.8%
England,E02001433,2,155,550,28.2%
England,E02001434,3,195,525,37.0%
England,E02001435,3,160,415,38.5%
England,E02001436,4,245,605,40.5%
England,E02001437,5,350,445,79.1%
England,E02001438,4,230,560,40.9%
England,E02001439,3,155,425,36.7%
England,E02001440,5,165,290,56.6%
England,E02001441,5,265,395,66.3%
England,E02001442,5,205,345,59.0%
England,E02001443,5,220,410,53.6%
England,E02001444,4,185,405,46.2%
England,E02001445,4,205,455,45.3%
England,E02001446,4,220,470,46.5%
England,E02001447,4,170,395,43.8%
England,E02001448,4,215,510,42.2%
England,E02001449,4,310,675,45.8%
England,E02001450,5,385,420,91.4%
England,E02001451,1,105,500,20.8%
England,E02001452,1,115,530,21.8%
England,E02001453,5,335,630,53.4%
England,E02001454,3,165,505,33.2%
England,E02001455,3,200,610,32.8%
England,E02001456,4,215,435,48.9%
England,E02001457,2,125,510,24.2%
England,E02001458,4,250,520,48.1%
England,E02001459,2,145,590,24.3%
England,E02001460,3,160,495,32.6%
England,E02001461,3,195,515,38.0%
England,E02001462,1,135,630,21.4%
England,E02001463,2,150,595,25.6%
England,E02001464,1,105,515,19.9%
England,E02001465,1,80,415,19.7%
England,E02001466,2,175,645,27.1%
England,E02001467,3,150,430,35.3%
England,E02001468,3,180,570,32.0%
England,E02001469,4,250,585,42.6%
England,E02001470,4,335,750,44.7%
England,E02001471,2,140,590,24.0%
England,E02001472,3,185,580,31.7%
England,E02001473,3,180,545,32.9%
England,E02001474,1,100,640,15.7%
England,E02001475,1,80,495,15.8%
England,E02001476,1,115,635,18.0%
England,E02001477,1,105,685,15.0%
England,E02001478,2,170,570,29.4%
England,E02001479,5,230,455,50.9%
England,E02001480,5,295,550,53.4%
England,E02001481,3,205,525,38.9%
England,E02001482,1,90,520,16.9%
England,E02001483,3,195,515,37.7%
England,E02001484,4,220,510,43.7%
England,E02001485,1,135,575,23.4%
England,E02001486,5,210,340,61.4%
England,E02001487,1,125,675,18.3%
England,E02001488,2,165,545,30.4%
England,E02001489,5,295,545,54.6%
England,E02001490,4,270,640,42.3%
England,E02001491,1,115,555,20.7%
England,E02001492,5,265,485,54.8%
England,E02001493,1,95,635,14.9%
England,E02001494,5,370,520,70.9%
England,E02001495,2,180,600,30.3%
England,E02001496,5,220,440,50.1%
England,E02001497,1,130,580,22.8%
England,E02001498,4,255,550,46.0%
England,E02001499,5,245,480,51.1%
England,E02001500,4,245,505,48.5%
England,E02001501,4,290,620,46.8%
England,E02001502,4,190,480,39.5%
England,E02001503,5,210,420,49.8%
England,E02001504,5,265,435,61.4%
England,E02001505,3,160,460,34.6%
England,E02001506,5,415,550,75.8%
England,E02001507,4,245,515,47.0%
England,E02001508,2,160,520,31.0%
England,E02001509,2,115,440,25.8%
England,E02001510,1,95,420,22.7%
England,E02001511,1,75,400,18.9%
England,E02001512,2,135,475,28.1%
England,E02001513,3,155,490,32.1%
England,E02001514,1,70,525,13.3%
England,E02001515,1,95,750,12.7%
England,E02001516,1,95,470,19.9%
England,E02001517,1,115,515,22.2%
England,E02001518,2,215,685,31.2%
England,E02001519,1,80,530,15.3%
England,E02001520,4,265,655,40.4%
England,E02001521,2,165,690,23.8%
England,E02001522,1,100,740,13.4%
England,E02001523,2,115,400,28.7%
England,E02001524,5,195,315,62.3%
England,E02001525,1,70,360,19.0%
England,E02001526,1,60,450,13.4%
England,E02001527,2,135,440,30.9%
England,E02001528,1,125,740,16.9%
England,E02001529,1,145,685,21.2%
England,E02001530,1,70,465,15.2%
England,E02001531,1,70,395,17.9%
England,E02001532,3,245,680,36.3%
England,E02001533,1,90,620,14.3%
England,E02001534,1,140,595,23.1%
England,E02001535,4,160,375,42.3%
England,E02001536,2,130,500,25.9%
England,E02001537,2,130,535,24.5%
England,E02001538,1,105,575,18.1%
England,E02001539,1,70,425,16.6%
England,E02001540,1,180,820,22.2%
England,E02001541,2,200,750,26.6%
England,E02001542,1,75,555,13.5%
England,E02001543,1,115,590,19.4%
England,E02001544,1,105,575,18.6%
England,E02001545,3,185,570,32.3%
England,E02001546,2,145,455,31.6%
England,E02001547,1,190,870,21.8%
England,E02001548,1,100,595,16.8%
England,E02001549,3,135,425,31.6%
England,E02001550,2,155,580,26.4%
England,E02001551,1,95,435,22.2%
England,E02001552,1,115,485,23.5%
England,E02001553,2,170,695,24.7%
England,E02001554,3,170,535,31.7%
England,E02001555,2,95,335,29.0%
England,E02001556,1,165,720,22.7%
England,E02001557,3,215,595,36.0%
England,E02001558,4,155,345,45.2%
England,E02001559,4,245,590,41.9%
England,E02001560,1,105,500,21.1%
England,E02001561,2,90,350,25.9%
England,E02001562,2,100,365,27.5%
England,E02001563,5,230,455,50.1%
England,E02001564,5,285,555,51.5%
England,E02001565,5,260,415,62.0%
England,E02001566,1,105,530,19.5%
England,E02001567,1,150,670,22.4%
England,E02001568,1,70,425,16.8%
England,E02001569,1,135,675,19.9%
England,E02001570,1,60,475,12.2%
England,E02001571,2,120,395,30.4%
England,E02001572,1,80,585,13.5%
England,E02001573,1,105,650,16.3%
England,E02001574,2,115,410,28.2%
England,E02001575,1,75,640,11.6%
England,E02001576,3,175,455,39.0%
England,E02001577,5,155,300,52.1%
England,E02001578,2,160,670,24.2%
England,E02001579,2,175,650,27.1%
England,E02001580,2,170,580,29.3%
England,E02001581,2,110,450,24.2%
England,E02001582,2,145,595,24.8%
England,E02001583,1,60,395,15.2%
England,E02001584,4,215,535,39.9%
England,E02001585,1,65,415,16.0%
England,E02001586,1,100,515,19.8%
England,E02001587,1,60,485,12.1%
England,E02001588,1,95,645,14.9%
England,E02001589,3,170,510,33.2%
England,E02001590,1,65,725,8.8%
England,E02001591,1,110,665,16.8%
England,E02001592,2,195,735,26.9%
England,E02001593,1,75,530,14.3%
England,E02001594,2,110,415,27.0%
England,E02001595,2,185,640,28.9%
England,E02001596,3,195,605,32.2%
England,E02001597,1,140,775,18.3%
England,E02001598,3,225,705,31.8%
England,E02001599,4,195,435,45.1%
England,E02001600,4,330,740,44.4%
England,E02001601,2,100,325,31.6%
England,E02001602,2,185,650,28.1%
England,E02001603,1,115,520,22.1%
England,E02001604,2,145,585,24.4%
England,E02001605,2,155,500,30.7%
England,E02001606,2,150,605,24.9%
England,E02001607,2,165,650,25.1%
England,E02001608,2,130,440,29.8%
England,E02001609,3,215,560,38.4%
England,E02001610,3,160,480,33.2%
England,E02001611,2,130,545,24.0%
England,E02001612,3,125,380,33.2%
England,E02001613,2,190,730,26.0%
England,E02001614,2,230,745,31.1%
England,E02001615,4,180,430,41.5%
England,E02001616,1,90,505,17.7%
England,E02001617,1,80,535,15.2%
England,E02001618,4,240,610,39.6%
England,E02001619,1,95,860,11.0%
England,E02001620,1,90,520,17.0%
England,E02001621,1,75,380,20.1%
England,E02001622,1,90,560,16.3%
England,E02001623,1,150,650,23.0%
England,E02001624,1,140,685,20.8%
England,E02001625,1,85,575,14.4%
England,E02001626,3,160,460,34.5%
England,E02001627,1,95,395,23.5%
England,E02001628,2,135,495,27.3%
England,E02001629,1,85,370,22.7%
England,E02001630,2,185,600,30.6%
England,E02001631,2,155,505,30.4%
England,E02001632,2,210,765,27.6%
England,E02001633,4,215,475,45.6%
England,E02001634,2,120,375,31.5%
England,E02001635,2,100,320,30.5%
England,E02001636,1,90,410,21.5%
England,E02001637,2,145,515,28.5%
England,E02001638,5,85,155,53.5%
England,E02001639,4,100,220,46.5%
England,E02001640,5,105,190,54.7%
England,E02001642,1,140,590,23.7%
England,E02001643,5,250,405,62.0%
England,E02001646,5,120,200,60.4%
England,E02001647,2,120,405,29.7%
England,E02001648,5,225,245,92.7%
England,E02001649,1,75,715,10.2%
England,E02001650,3,100,285,35.3%
England,E02001651,5,375,485,77.2%
England,E02001652,2,125,430,28.7%
England,E02001653,1,65,375,17.0%
England,E02001654,2,125,510,24.6%
England,E02001655,1,90,550,16.8%
England,E02001656,5,185,310,60.4%
England,E02001657,5,310,540,57.5%
England,E02001658,1,45,440,10.4%
England,E02001659,1,85,380,22.4%
England,E02001660,4,255,520,48.8%
England,E02001661,2,115,455,25.7%
England,E02001662,1,110,480,23.0%
England,E02001663,3,160,455,35.2%
England,E02001664,2,105,355,29.1%
England,E02001665,5,535,745,71.7%
England,E02001666,1,95,505,18.8%
England,E02001669,3,160,440,36.8%
England,E02001670,1,75,445,16.6%
England,E02001671,2,115,400,28.6%
England,E02001672,2,125,410,29.9%
England,E02001673,3,155,440,35.5%
England,E02001674,4,240,570,42.6%
England,E02001675,1,105,545,19.7%
England,E02001676,5,215,400,54.0%
England,E02001678,5,415,580,72.0%
England,E02001679,2,105,380,26.9%
England,E02001680,1,55,370,14.4%
England,E02001681,5,230,455,51.0%
England,E02001682,3,180,515,35.3%
England,E02001683,3,215,560,38.1%
England,E02001684,1,85,405,21.6%
England,E02001685,1,90,520,17.6%
England,E02001686,3,150,405,36.7%
England,E02001688,1,75,390,19.5%
England,E02001689,2,90,335,27.0%
England,E02001690,3,165,445,36.7%
England,E02001691,2,105,375,27.6%
England,E02001692,1,90,515,17.1%
England,E02001693,1,80,345,23.1%
England,E02001694,3,145,425,34.5%
England,E02001695,3,150,400,37.3%
England,E02001696,1,155,660,23.2%
England,E02001697,4,195,450,43.3%
England,E02001698,5,195,390,50.0%
England,E02001699,2,135,475,28.0%
England,E02001700,3,230,675,33.9%
England,E02001701,4,175,370,48.0%
England,E02001702,1,145,605,23.6%
England,E02001703,3,150,395,38.0%
England,E02001704,2,135,530,25.1%
England,E02001705,3,150,455,33.0%
England,E02001706,2,120,455,26.1%
England,E02001707,2,140,580,23.9%
England,E02001708,4,250,625,39.6%
England,E02001709,5,415,530,78.7%
England,E02001710,2,175,710,24.7%
England,E02001711,2,180,660,27.0%
England,E02001712,5,315,370,85.5%
England,E02001713,5,435,395,100.0%
England,E02001714,5,360,575,62.2%
England,E02001715,2,215,805,26.7%
England,E02001718,1,85,440,18.8%
England,E02001719,3,225,575,39.2%
England,E02001720,5,200,175,100.0%
England,E02001721,2,175,615,28.2%
England,E02001722,2,170,685,24.5%
England,E02001723,3,150,430,34.8%
England,E02001724,5,105,110,93.2%
England,E02001725,3,110,290,37.3%
England,E02001726,2,255,810,31.4%
England,E02001727,2,190,675,28.1%
England,E02001728,1,135,665,19.9%
England,E02001729,3,175,540,32.6%
England,E02001730,3,100,285,35.7%
England,E02001731,2,105,340,30.6%
England,E02001732,2,85,350,24.2%
England,E02001733,1,135,850,15.9%
England,E02001734,1,100,515,19.9%
England,E02001735,1,75,505,14.5%
England,E02001736,2,205,820,24.7%
England,E02001737,1,65,455,14.5%
England,E02001738,5,210,335,62.8%
England,E02001739,2,140,550,25.3%
England,E02001740,5,265,445,59.4%
England,E02001741,3,130,360,35.7%
England,E02001742,4,210,435,48.5%
England,E02001743,4,215,445,48.1%
England,E02001744,2,120,390,30.8%
England,E02001745,2,110,425,26.2%
England,E02001746,4,240,590,40.7%
England,E02001747,4,175,370,46.5%
England,E02001748,1,105,440,23.6%
England,E02001749,4,160,355,45.6%
England,E02001750,4,235,490,47.8%
England,E02001751,3,120,365,32.6%
England,E02001752,1,110,495,22.3%
England,E02001753,5,145,240,61.5%
England,E02001754,5,170,245,68.0%
England,E02001755,4,195,415,47.5%
England,E02001756,1,140,600,22.9%
England,E02001757,3,140,365,38.4%
England,E02001758,3,125,395,31.9%
England,E02001759,3,95,285,34.3%
England,E02001760,1,100,620,16.5%
England,E02001761,2,95,345,28.2%
England,E02001762,3,155,435,35.2%
England,E02001763,1,95,440,21.7%
England,E02001764,1,75,450,16.2%
England,E02001765,1,100,450,22.5%
England,E02001766,2,130,480,26.5%
England,E02001767,2,115,485,24.1%
England,E02001768,2,125,460,26.8%
England,E02001769,1,65,380,17.2%
England,E02001770,4,165,415,40.2%
England,E02001771,2,140,500,28.1%
England,E02001772,2,100,390,26.0%
England,E02001773,4,160,375,42.9%
England,E02001774,2,90,375,23.9%
England,E02001775,2,110,450,24.7%
England,E02001776,1,125,575,21.6%
England,E02001777,3,145,440,32.9%
England,E02001778,2,95,390,24.3%
England,E02001779,1,90,430,20.5%
England,E02001780,2,105,395,27.2%
England,E02001781,1,70,410,17.0%
England,E02001782,2,160,625,25.9%
England,E02001783,1,90,530,16.6%
England,E02001784,1,115,545,21.4%
England,E02001785,3,185,535,34.5%
England,E02001786,1,110,540,20.2%
England,E02001787,1,85,395,21.4%
England,E02001788,2,130,410,31.5%
England,E02001789,5,235,310,75.9%
England,E02001790,4,165,355,46.5%
England,E02001791,5,235,470,50.4%
England,E02001792,5,240,465,51.7%
England,E02001793,1,95,685,14.2%
England,E02001794,1,95,660,14.5%
England,E02001795,1,105,455,23.5%
England,E02001796,3,180,540,33.8%
England,E02001797,3,125,350,36.5%
England,E02001798,1,145,660,22.1%
England,E02001799,1,120,765,15.6%
England,E02001800,2,130,505,25.6%
England,E02001801,2,95,380,25.0%
England,E02001802,1,95,580,16.3%
England,E02001803,4,120,300,39.9%
England,E02001804,1,85,475,18.4%
England,E02001805,3,125,345,36.5%
England,E02001806,1,110,535,20.3%
England,E02001807,2,175,650,26.7%
England,E02001808,3,140,370,37.6%
England,E02001809,3,155,455,33.8%
England,E02001810,2,190,605,31.5%
England,E02001811,1,145,715,20.5%
England,E02001812,5,380,645,59.2%
England,E02001813,1,165,875,19.1%
England,E02001814,2,145,465,30.6%
England,E02001815,4,335,750,44.4%
England,E02001816,1,110,470,23.4%
England,E02001817,2,135,555,24.0%
England,E02001818,3,220,685,32.1%
England,E02001819,5,220,440,49.7%
England,E02001820,2,170,620,27.5%
England,E02001821,4,190,435,44.4%
England,E02001822,3,195,570,34.2%
England,E02001823,2,130,525,24.3%
England,E02001824,2,175,595,29.4%
England,E02001825,2,120,485,25.1%
England,E02001826,1,80,460,17.2%
England,E02001827,5,220,430,51.4%
England,E02001828,5,190,375,51.2%
England,E02001829,5,335,585,56.8%
England,E02001830,5,445,570,78.2%
England,E02001831,3,260,805,32.5%
England,E02001832,5,300,525,57.2%
England,E02001833,3,165,465,35.7%
England,E02001834,1,105,555,19.3%
England,E02001835,5,305,505,60.1%
England,E02001836,5,335,625,53.9%
England,E02001837,1,130,950,13.5%
England,E02001838,4,255,540,47.3%
England,E02001839,2,120,420,29.0%
England,E02001840,1,120,670,17.9%
England,E02001841,5,255,410,61.7%
England,E02001842,3,210,580,35.9%
England,E02001843,2,110,390,28.8%
England,E02001844,4,255,535,47.5%
England,E02001845,3,155,480,32.0%
England,E02001846,1,110,540,20.2%
England,E02001847,3,105,305,33.5%
England,E02001848,2,110,465,24.2%
England,E02001849,2,105,365,28.9%
England,E02001850,4,225,545,41.3%
England,E02001851,2,160,515,31.3%
England,E02001852,2,120,425,28.1%
England,E02001854,2,165,540,31.0%
England,E02001855,1,105,845,12.3%
England,E02001856,2,145,505,29.0%
England,E02001857,2,250,805,30.9%
England,E02001858,5,290,535,53.8%
England,E02001859,3,285,755,38.1%
England,E02001860,3,215,580,37.0%
England,E02001861,4,295,735,40.4%
England,E02001862,4,325,775,41.6%
England,E02001863,3,235,650,36.1%
England,E02001864,2,105,425,24.3%
England,E02001865,3,285,825,34.9%
England,E02001866,4,295,705,42.2%
England,E02001867,3,220,645,34.0%
England,E02001868,4,290,680,42.7%
England,E02001869,2,95,375,25.9%
England,E02001870,3,315,860,36.7%
England,E02001871,1,95,440,21.5%
England,E02001872,1,80,490,16.1%
England,E02001873,3,225,685,32.7%
England,E02001874,2,200,745,27.2%
England,E02001875,2,165,550,30.3%
England,E02001876,2,130,430,29.9%
England,E02001877,3,305,940,32.3%
England,E02001878,3,245,755,32.5%
England,E02001879,3,240,660,36.5%
England,E02001880,1,135,825,16.6%
England,E02001881,2,200,740,27.2%
England,E02001882,3,185,550,33.5%
England,E02001883,1,85,575,14.4%
England,E02001884,3,265,800,33.4%
England,E02001886,5,260,470,55.8%
England,E02001888,1,105,510,20.3%
England,E02001889,3,280,765,36.4%
England,E02001890,5,240,260,92.8%
England,E02001892,2,210,735,28.5%
England,E02001893,3,205,565,36.0%
England,E02001895,1,105,570,18.4%
England,E02001896,3,285,800,35.4%
England,E02001897,3,180,535,33.8%
England,E02001898,2,145,480,30.8%
England,E02001899,5,310,340,90.5%
England,E02001900,5,170,270,63.1%
England,E02001901,5,230,250,91.7%
England,E02001902,2,115,370,30.6%
England,E02001903,3,250,735,33.7%
England,E02001904,2,110,395,28.5%
England,E02001905,5,215,255,84.3%
England,E02001906,3,220,615,35.6%
England,E02001907,3,175,545,32.1%
England,E02001908,3,275,825,33.4%
England,E02001909,3,235,670,35.2%
England,E02001910,3,195,580,33.7%
England,E02001911,1,140,600,23.6%
England,E02001913,5,130,245,53.6%
England,E02001914,5,275,460,59.8%
England,E02001915,3,255,700,36.3%
England,E02001916,2,170,575,29.9%
England,E02001918,5,275,460,59.9%
England,E02001919,5,205,385,53.0%
England,E02001920,2,130,530,24.9%
England,E02001921,1,120,570,21.3%
England,E02001922,1,45,195,22.7%
England,E02001923,4,390,800,49.0%
England,E02001924,4,215,515,42.2%
England,E02001925,4,140,290,48.9%
England,E02001926,5,155,305,51.1%
England,E02001927,1,105,605,17.1%
England,E02001928,1,90,480,19.0%
England,E02001929,1,175,840,20.8%
England,E02001930,5,230,425,53.6%
England,E02001931,5,285,540,52.9%
England,E02001932,1,95,495,19.0%
England,E02001933,2,175,565,31.0%
England,E02001934,5,255,480,53.0%
England,E02001935,4,210,525,39.9%
England,E02001936,5,230,420,55.0%
England,E02001937,3,185,580,32.1%
England,E02001938,4,210,465,45.7%
England,E02001939,3,120,305,39.2%
England,E02001941,1,105,470,22.0%
England,E02001942,4,215,510,42.4%
England,E02001943,2,145,465,31.4%
England,E02001944,3,180,485,36.7%
England,E02001945,1,120,685,17.8%
England,E02001946,4,220,525,41.9%
England,E02001947,1,75,385,19.8%
England,E02001948,1,115,550,20.6%
England,E02001949,1,90,400,22.9%
England,E02001950,3,165,520,32.2%
England,E02001951,1,110,610,18.0%
England,E02001952,1,140,595,23.5%
England,E02001953,3,165,510,32.5%
England,E02001954,1,85,560,15.5%
England,E02001955,1,115,490,23.4%
England,E02001956,2,135,455,30.2%
England,E02001957,2,170,590,28.8%
England,E02001958,2,165,550,30.0%
England,E02001959,3,145,450,32.7%
England,E02001961,1,130,545,23.7%
England,E02001962,2,140,470,29.9%
England,E02001963,3,150,450,33.6%
England,E02001964,1,120,735,16.2%
England,E02001965,2,180,615,29.5%
England,E02001966,3,190,520,36.4%
England,E02001967,4,195,400,48.0%
England,E02001968,3,155,475,32.4%
England,E02001969,1,115,495,22.9%
England,E02001970,2,100,320,30.8%
England,E02001971,3,165,475,34.8%
England,E02001972,2,200,660,30.5%
England,E02001973,2,155,520,29.9%
England,E02001974,4,235,565,41.7%
England,E02001975,3,200,630,31.8%
England,E02001976,3,160,455,35.5%
England,E02001977,2,110,400,26.9%
England,E02001978,3,140,430,32.9%
England,E02001979,4,155,370,42.4%
England,E02001980,5,190,380,49.9%
England,E02001981,2,210,705,29.7%
England,E02001982,4,175,430,40.7%
England,E02001983,3,160,425,37.4%
England,E02001984,3,210,600,34.6%
England,E02001985,2,110,365,29.7%
England,E02001986,1,105,495,21.6%
England,E02001987,3,70,180,38.2%
England,E02001988,5,125,220,55.5%
England,E02001989,2,90,345,25.9%
England,E02001990,4,250,590,42.5%
England,E02001991,5,330,445,74.4%
England,E02001992,1,185,800,22.9%
England,E02001993,3,190,490,39.2%
England,E02001994,4,210,440,47.6%
England,E02001995,3,105,295,35.4%
England,E02001996,1,90,490,17.9%
England,E02001997,5,340,500,68.7%
England,E02001998,5,260,485,53.5%
England,E02001999,5,220,320,69.2%
England,E02002000,1,120,570,21.5%
England,E02002001,2,125,480,26.1%
England,E02002002,4,210,450,46.0%
England,E02002003,2,180,680,26.4%
England,E02002004,1,135,620,21.7%
England,E02002005,1,130,720,18.0%
England,E02002006,2,120,410,28.7%
England,E02002007,2,155,540,28.9%
England,E02002008,4,285,635,44.6%
England,E02002009,2,135,495,27.1%
England,E02002010,3,155,420,37.3%
England,E02002011,4,155,375,41.1%
England,E02002012,1,120,530,22.9%
England,E02002013,4,235,480,48.9%
England,E02002014,2,125,500,25.3%
England,E02002015,2,120,430,27.8%
England,E02002016,1,90,590,15.4%
England,E02002017,1,125,540,23.5%
England,E02002018,4,300,690,43.5%
England,E02002019,1,115,565,20.1%
England,E02002020,3,195,535,36.3%
England,E02002021,2,95,390,24.7%
England,E02002022,1,115,555,20.9%
England,E02002023,2,100,325,30.7%
England,E02002024,1,115,535,21.8%
England,E02002025,2,175,595,29.2%
England,E02002026,2,140,490,29.0%
England,E02002027,4,185,435,42.7%
England,E02002028,3,130,330,38.8%
England,E02002029,4,175,415,42.0%
England,E02002030,2,120,410,29.5%
England,E02002031,3,130,415,31.7%
England,E02002032,2,170,705,24.3%
England,E02002033,3,205,525,38.8%
England,E02002034,4,235,505,46.3%
England,E02002035,5,225,440,50.7%
England,E02002036,1,95,440,21.6%
England,E02002037,4,175,400,43.9%
England,E02002038,2,175,580,30.3%
England,E02002039,5,175,320,55.1%
England,E02002040,5,220,335,65.5%
England,E02002041,4,175,380,45.8%
England,E02002042,4,250,515,48.5%
England,E02002043,2,180,705,25.5%
England,E02002044,3,205,540,38.1%
England,E02002045,2,135,540,24.9%
England,E02002046,1,60,550,11.1%
England,E02002047,2,110,430,25.9%
England,E02002048,5,235,460,51.3%
England,E02002049,1,100,435,22.6%
England,E02002051,1,80,475,16.9%
England,E02002052,1,140,790,17.6%
England,E02002053,3,155,410,37.7%
England,E02002054,3,135,405,33.2%
England,E02002055,2,175,640,27.2%
England,E02002056,1,90,700,13.0%
England,E02002057,2,170,655,26.3%
England,E02002058,3,235,740,31.9%
England,E02002059,3,235,630,36.9%
England,E02002060,2,125,450,28.1%
England,E02002061,3,125,390,31.8%
England,E02002062,2,120,400,29.9%
England,E02002063,3,190,555,34.3%
England,E02002064,1,205,875,23.5%
England,E02002065,3,315,925,34.1%
England,E02002066,2,145,500,29.3%
England,E02002067,1,85,390,21.9%
England,E02002068,2,290,980,29.8%
England,E02002069,1,95,465,20.3%
England,E02002070,3,205,590,34.3%
England,E02002071,1,75,490,15.6%
England,E02002072,2,180,610,29.6%
England,E02002073,2,165,690,24.1%
England,E02002074,2,180,675,26.6%
England,E02002075,2,145,600,24.5%
England,E02002076,4,230,510,45.4%
England,E02002077,2,190,700,26.8%
England,E02002078,3,180,465,39.0%
England,E02002079,2,165,620,26.7%
England,E02002080,2,135,485,27.3%
England,E02002081,3,130,385,34.1%
England,E02002082,1,55,495,11.3%
England,E02002083,2,150,500,29.7%
England,E02002084,1,90,560,16.1%
England,E02002085,1,85,525,16.4%
England,E02002086,1,70,440,16.3%
England,E02002087,1,70,525,13.8%
England,E02002088,1,75,705,10.3%
England,E02002089,2,165,560,29.5%
England,E02002090,3,140,405,34.7%
England,E02002091,3,160,450,35.5%
England,E02002092,3,185,505,36.5%
England,E02002093,5,230,450,51.5%
England,E02002094,5,250,405,61.6%
England,E02002095,5,265,510,52.2%
England,E02002096,5,345,515,66.8%
England,E02002097,5,240,350,68.7%
England,E02002098,5,400,750,53.6%
England,E02002099,5,355,400,88.4%
England,E02002101,2,120,390,30.9%
England,E02002102,4,300,625,47.8%
England,E02002103,4,205,450,45.1%
England,E02002104,5,365,510,71.5%
England,E02002105,5,365,565,64.6%
England,E02002106,5,430,630,68.2%
England,E02002107,5,235,430,54.5%
England,E02002108,5,550,740,74.3%
England,E02002109,5,285,525,54.4%
England,E02002110,2,140,500,28.1%
England,E02002111,1,85,450,18.8%
England,E02002112,3,125,385,32.5%
England,E02002113,1,95,450,21.6%
England,E02002114,3,125,395,31.8%
England,E02002115,1,105,470,22.2%
England,E02002116,4,185,455,40.6%
England,E02002117,3,130,410,32.3%
England,E02002118,1,75,585,13.0%
England,E02002119,3,150,455,33.2%
England,E02002120,3,200,555,36.2%
England,E02002121,1,60,465,12.9%
England,E02002122,1,55,460,11.5%
England,E02002123,2,115,400,29.1%
England,E02002124,2,135,435,30.9%
England,E02002125,2,110,385,28.6%
England,E02002126,1,65,470,14.0%
England,E02002127,1,125,650,19.4%
England,E02002128,2,95,360,26.7%
England,E02002129,2,120,420,28.7%
England,E02002130,1,75,450,16.4%
England,E02002131,4,275,560,48.7%
England,E02002132,1,95,465,20.6%
England,E02002133,4,190,415,45.5%
England,E02002134,1,140,635,21.9%
England,E02002135,2,150,485,30.8%
England,E02002136,2,140,500,27.9%
England,E02002137,5,235,435,53.8%
England,E02002138,5,205,400,51.5%
England,E02002139,4,230,530,43.1%
England,E02002140,2,160,535,29.7%
England,E02002141,4,210,470,44.7%
England,E02002142,2,140,500,27.9%
England,E02002143,4,275,680,40.6%
England,E02002144,5,305,430,70.5%
England,E02002145,2,120,500,24.0%
England,E02002146,3,170,480,35.5%
England,E02002147,1,125,650,19.5%
England,E02002148,3,325,840,38.7%
England,E02002149,2,225,800,27.9%
England,E02002150,3,165,455,36.4%
England,E02002151,2,120,445,27.3%
England,E02002152,1,95,540,18.0%
England,E02002153,2,125,515,24.3%
