Country,ISO3,Year,Rank,Index,Value,Human Development 2021,Region,Sources
Mongolia,MNG,2022,42,Global Peace,1.775,High,East Asia & Pacific,
Mongolia,MNG,2022,131,Fragile States,51.6,High,East Asia & Pacific,
Egypt,EGY,2021,97,Human Development,0.731,High,Middle East & North Africa,
Egypt,EGY,2023,88,Passport Access,53.0,High,Middle East & North Africa,
Egypt,EGY,2022,126,Global Peace,2.342,High,Middle East & North Africa,
Egypt,EGY,2022,42,Fragile States,83.6,High,Middle East & North Africa,
Tunisia,TUN,2021,97,Human Development,0.731,High,Middle East & North Africa,
Tunisia,TUN,2023,71,Passport Access,71.0,High,Middle East & North Africa,
Tunisia,TUN,2022,85,Global Peace,1.996,High,Middle East & North Africa,
Tunisia,TUN,2022,93,Fragile States,68.2,High,Middle East & North Africa,
Fiji,FJI,2021,99,Human Development,0.73,High,East Asia & Pacific,
Fiji,FJI,2023,60,Passport Access,87.0,High,East Asia & Pacific,
Fiji,FJI,2022,90,Fragile States,68.9,High,East Asia & Pacific,
Suriname,SUR,2021,99,Human Development,0.73,High,Latin America & Caribbean,
Suriname,SUR,2023,65,Passport Access,78.0,High,Latin America & Caribbean,
Suriname,SUR,2022,116,Fragile States,60.8,High,Latin America & Caribbean,
Uzbekistan,UZB,2021,101,Human Development,0.727,High,Europe & Central Asia,
Uzbekistan,UZB,2023,82,Passport Access,59.0,High,Europe & Central Asia,
Uzbekistan,UZB,2022,86,Global Peace,2.001,High,Europe & Central Asia,
Uzbekistan,UZB,2022,88,Fragile States,69.6,High,Europe & Central Asia,
Dominica,DMA,2021,102,Human Development,0.72,High,Latin America & Caribbean,
Dominica,DMA,2023,31,Passport Access,144.0,High,Latin America & Caribbean,
Jordan,JOR,2021,102,Human Development,0.72,High,Middle East & North Africa,
Jordan,JOR,2023,88,Passport Access,53.0,High,Middle East & North Africa,
Jordan,JOR,2022,57,Global Peace,1.849,High,Middle East & North Africa,
Jordan,JOR,2022,67,Fragile States,76.6,High,Middle East & North Africa,
Libya,LBY,2021,104,Human Development,0.718,High,Middle East & North Africa,
Libya,LBY,2023,100,Passport Access,40.0,High,Middle East & North Africa,
Libya,LBY,2022,151,Global Peace,2.93,High,Middle East & North Africa,
Libya,LBY,2022,21,Fragile States,94.3,High,Middle East & North Africa,
Paraguay,PRY,2021,105,Human Development,0.717,High,Latin America & Caribbean,
Paraguay,PRY,2023,33,Passport Access,141.0,High,Latin America & Caribbean,
Paraguay,PRY,2022,77,Global Peace,1.976,High,Latin America & Caribbean,
Paraguay,PRY,2022,103,Fragile States,65.4,High,Latin America & Caribbean,
"Palestine, State of",PSE,2021,106,Human Development,0.715,High,Middle East & North Africa,
Palestinian Territory,PSE,2023,101,Passport Access,38.0,High,Middle East & North Africa,
Palestine,PSE,2022,133,Global Peace,2.552,High,Middle East & North Africa,
Palestine,PSE,2022,37,Fragile States,85.6,High,Middle East & North Africa,
Saint Lucia,LCA,2021,106,Human Development,0.715,High,Latin America & Caribbean,
St. Lucia,LCA,2023,29,Passport Access,146.0,High,Latin America & Caribbean,
Guyana,GUY,2021,108,Human Development,0.714,High,Latin America & Caribbean,
Guyana,GUY,2023,60,Passport Access,87.0,High,Latin America & Caribbean,
Guyana,GUY,2022,107,Global Peace,2.14,High,Latin America & Caribbean,
Guyana,GUY,2022,107,Fragile States,64.2,High,Latin America & Caribbean,
South Africa,ZAF,2021,109,Human Development,0.713,High,Sub-Saharan Africa,
South Africa,ZAF,2023,52,Passport Access,106.0,High,Sub-Saharan Africa,
South Africa,ZAF,2022,118,Global Peace,2.283,High,Sub-Saharan Africa,
South Africa,ZAF,2022,79,Fragile States,72.0,High,Sub-Saharan Africa,
Jamaica,JAM,2021,110,Human Development,0.709,High,Latin America & Caribbean,
Jamaica,JAM,2023,61,Passport Access,86.0,High,Latin America & Caribbean,
Jamaica,JAM,2022,81,Global Peace,1.99,High,Latin America & Caribbean,
Jamaica,JAM,2022,112,Fragile States,62.1,High,Latin America & Caribbean,
Samoa,WSM,2021,111,Human Development,0.707,High,East Asia & Pacific,
Samoa,WSM,2023,38,Passport Access,131.0,High,East Asia & Pacific,
Samoa,WSM,2022,104,Fragile States,64.8,High,East Asia & Pacific,
Gabon,GAB,2021,112,Human Development,0.706,High,Sub-Saharan Africa,
Gabon,GAB,2023,85,Passport Access,56.0,High,Sub-Saharan Africa,
Gabon,GAB,2022,75,Global Peace,1.973,High,Sub-Saharan Africa,
Gabon,GAB,2022,99,Fragile States,66.7,High,Sub-Saharan Africa,
Lebanon,LBN,2021,112,Human Development,0.706,High,Middle East & North Africa,
Lebanon,LBN,2023,99,Passport Access,41.0,High,Middle East & North Africa,
Lebanon,LBN,2022,138,Global Peace,2.615,High,Middle East & North Africa,
Lebanon,LBN,2022,27,Fragile States,91.3,High,Middle East & North Africa,
Indonesia,IDN,2021,114,Human Development,0.705,High,East Asia & Pacific,
Indonesia,IDN,2023,70,Passport Access,72.0,High,East Asia & Pacific,
Indonesia,IDN,2022,47,Global Peace,1.8,High,East Asia & Pacific,
Indonesia,IDN,2022,100,Fragile States,66.6,High,East Asia & Pacific,
Viet Nam,VNM,2021,115,Human Development,0.703,High,East Asia & Pacific,
Vietnam,VNM,2023,86,Passport Access,55.0,High,East Asia & Pacific,
Vietnam,VNM,2022,44,Global Peace,1.786,High,East Asia & Pacific,
Vietnam,VNM,2022,115,Fragile States,60.9,High,East Asia & Pacific,
Philippines,PHL,2021,116,Human Development,0.699,Medium,East Asia & Pacific,
Philippines,PHL,2023,75,Passport Access,67.0,Medium,East Asia & Pacific,
Philippines,PHL,2022,125,Global Peace,2.339,Medium,East Asia & Pacific,
Philippines,PHL,2022,50,Fragile States,80.5,Medium,East Asia & Pacific,
Botswana,BWA,2021,117,Human Development,0.693,Medium,Sub-Saharan Africa,
Botswana,BWA,2023,61,Passport Access,86.0,Medium,Sub-Saharan Africa,
Botswana,BWA,2022,48,Global Peace,1.801,Medium,Sub-Saharan Africa,
Botswana,BWA,2022,123,Fragile States,56.1,Medium,Sub-Saharan Africa,
Bolivia (Plurinational State of),BOL,2021,118,Human Development,0.692,Medium,Latin America & Caribbean,
Bolivia,BOL,2023,64,Passport Access,79.0,Medium,Latin America & Caribbean,
Bolivia,BOL,2022,80,Global Peace,1.989,Medium,Latin America & Caribbean,
Bolivia,BOL,2022,72,Fragile States,73.4,Medium,Latin America & Caribbean,
Kyrgyzstan,KGZ,2021,118,Human Development,0.692,Medium,Europe & Central Asia,
Kyrgyzstan,KGZ,2023,79,Passport Access,63.0,Medium,Europe & Central Asia,
Kyrgyz Republic,KGZ,2022,91,Global Peace,2.028,Medium,Europe & Central Asia,
Kyrgyzstan,KGZ,2022,66,Fragile States,77.1,Medium,Europe & Central Asia,
Venezuela (Bolivarian Republic of),VEN,2021,120,Human Development,0.691,Medium,Latin America & Caribbean,
Venezuela,VEN,2023,40,Passport Access,128.0,Medium,Latin America & Caribbean,
Venezuela,VEN,2022,148,Global Peace,2.798,Medium,Latin America & Caribbean,
Venezuela,VEN,2022,26,Fragile States,91.6,Medium,Latin America & Caribbean,
Iraq,IRQ,2021,121,Human Development,0.686,Medium,Middle East & North Africa,
Iraq,IRQ,2023,107,Passport Access,29.0,Medium,Middle East & North Africa,
Iraq,IRQ,2022,157,Global Peace,3.157,Medium,Middle East & North Africa,
Iraq,IRQ,2022,23,Fragile States,93.8,Medium,Middle East & North Africa,
Tajikistan,TJK,2021,122,Human Development,0.685,Medium,Europe & Central Asia,
Tajikistan,TJK,2023,82,Passport Access,59.0,Medium,Europe & Central Asia,
Tajikistan,TJK,2022,92,Global Peace,2.031,Medium,Europe & Central Asia,
Tajikistan,TJK,2022,70,Fragile States,75.0,Medium,Europe & Central Asia,
Belize,BLZ,2021,123,Human Development,0.683,Medium,Latin America & Caribbean,
Belize,BLZ,2023,53,Passport Access,102.0,Medium,Latin America & Caribbean,
Belize,BLZ,2022,112,Fragile States,62.1,Medium,Latin America & Caribbean,
Morocco,MAR,2021,123,Human Development,0.683,Medium,Middle East & North Africa,
Morocco,MAR,2023,77,Passport Access,65.0,Medium,Middle East & North Africa,
Morocco,MAR,2022,74,Global Peace,1.969,Medium,Middle East & North Africa,
Morocco,MAR,2022,85,Fragile States,70.1,Medium,Middle East & North Africa,
El Salvador,SLV,2021,125,Human Development,0.675,Medium,Latin America & Caribbean,
El Salvador,SLV,2023,37,Passport Access,132.0,Medium,Latin America & Caribbean,
El Salvador,SLV,2022,114,Global Peace,2.231,Medium,Latin America & Caribbean,
El Salvador,SLV,2022,82,Fragile States,70.8,Medium,Latin America & Caribbean,
Nicaragua,NIC,2021,126,Human Development,0.667,Medium,Latin America & Caribbean,
Nicaragua,NIC,2023,41,Passport Access,127.0,Medium,Latin America & Caribbean,
Nicaragua,NIC,2022,124,Global Peace,2.334,Medium,Latin America & Caribbean,
Nicaragua,NIC,2022,63,Fragile States,77.7,Medium,Latin America & Caribbean,
Bhutan,BTN,2021,127,Human Development,0.666,Medium,South Asia,
Bhutan,BTN,2023,89,Passport Access,52.0,Medium,South Asia,
Bhutan,BTN,2022,19,Global Peace,1.481,Medium,South Asia,
Bhutan,BTN,2022,96,Fragile States,67.4,Medium,South Asia,
Cabo Verde,CPV,2021,128,Human Development,0.662,Medium,Sub-Saharan Africa,
Cape Verde Islands,CPV,2023,77,Passport Access,65.0,Medium,Sub-Saharan Africa,
Cabo Verde,CPV,2022,114,Fragile States,61.4,Medium,Sub-Saharan Africa,
Bangladesh,BGD,2021,129,Human Development,0.661,Medium,South Asia,
Bangladesh,BGD,2023,100,Passport Access,40.0,Medium,South Asia,
Bangladesh,BGD,2022,96,Global Peace,2.067,Medium,South Asia,
Bangladesh,BGD,2022,38,Fragile States,84.5,Medium,South Asia,
Tuvalu,TUV,2021,130,Human Development,0.641,Medium,East Asia & Pacific,
Tuvalu,TUV,2023,41,Passport Access,127.0,Medium,East Asia & Pacific,
Marshall Islands,MHL,2021,131,Human Development,0.639,Medium,East Asia & Pacific,
Marshall Islands,MHL,2023,45,Passport Access,122.0,Medium,East Asia & Pacific,
India,IND,2021,132,Human Development,0.633,Medium,South Asia,
India,IND,2023,81,Passport Access,60.0,Medium,South Asia,
India,IND,2022,135,Global Peace,2.578,Medium,South Asia,
India,IND,2022,69,Fragile States,75.3,Medium,South Asia,
Ghana,GHA,2021,133,Human Development,0.632,Medium,Sub-Saharan Africa,
Ghana,GHA,2023,78,Passport Access,64.0,Medium,Sub-Saharan Africa,
Ghana,GHA,2022,40,Global Peace,1.759,Medium,Sub-Saharan Africa,
Ghana,GHA,2022,108,Fragile States,63.0,Medium,Sub-Saharan Africa,
Micronesia (Federated States of),FSM,2021,134,Human Development,0.628,Medium,East Asia & Pacific,
Micronesia,FSM,2023,48,Passport Access,118.0,Medium,East Asia & Pacific,
Micronesia,FSM,2022,81,Fragile States,71.0,Medium,East Asia & Pacific,
Guatemala,GTM,2021,135,Human Development,0.627,Medium,Latin America & Caribbean,
Guatemala,GTM,2023,36,Passport Access,133.0,Medium,Latin America & Caribbean,
Guatemala,GTM,2022,106,Global Peace,2.139,Medium,Latin America & Caribbean,
Guatemala,GTM,2022,64,Fragile States,77.5,Medium,Latin America & Caribbean,
Kiribati,KIR,2021,136,Human Development,0.624,Medium,East Asia & Pacific,
Kiribati,KIR,2023,44,Passport Access,123.0,Medium,East Asia & Pacific,
Honduras,HND,2021,137,Human Development,0.621,Medium,Latin America & Caribbean,
Honduras,HND,2023,36,Passport Access,133.0,Medium,Latin America & Caribbean,
Honduras,HND,2022,117,Global Peace,2.269,Medium,Latin America & Caribbean,
Honduras,HND,2022,58,Fragile States,78.7,Medium,Latin America & Caribbean,
Sao Tome and Principe,STP,2021,138,Human Development,0.618,Medium,Sub-Saharan Africa,
Sao Tome and Principe,STP,2023,82,Passport Access,59.0,Medium,Sub-Saharan Africa,
Sao Tome and Principe,STP,2022,83,Fragile States,70.4,Medium,Sub-Saharan Africa,
Namibia,NAM,2021,139,Human Development,0.615,Medium,Sub-Saharan Africa,
Namibia,NAM,2023,65,Passport Access,78.0,Medium,Sub-Saharan Africa,
Namibia,NAM,2022,68,Global Peace,1.908,Medium,Sub-Saharan Africa,
Namibia,NAM,2022,109,Fragile States,62.9,Medium,Sub-Saharan Africa,
Lao People's Democratic Republic,LAO,2021,140,Human Development,0.607,Medium,East Asia & Pacific,
Laos,LAO,2023,91,Passport Access,50.0,Medium,East Asia & Pacific,
Laos,LAO,2022,51,Global Peace,1.809,Medium,East Asia & Pacific,
Laos,LAO,2022,68,Fragile States,75.5,Medium,East Asia & Pacific,
Timor-Leste,TLS,2021,140,Human Development,0.607,Medium,East Asia & Pacific,
Timor-Leste,TLS,2023,56,Passport Access,94.0,Medium,East Asia & Pacific,
Timor-Leste,TLS,2022,54,Global Peace,1.839,Medium,East Asia & Pacific,
Timor-Leste,TLS,2022,56,Fragile States,79.3,Medium,East Asia & Pacific,
Vanuatu,VUT,2021,140,Human Development,0.607,Medium,East Asia & Pacific,
Vanuatu,VUT,2023,55,Passport Access,97.0,Medium,East Asia & Pacific,
Nepal,NPL,2021,143,Human Development,0.602,Medium,South Asia,
Nepal,NPL,2023,102,Passport Access,37.0,Medium,South Asia,
Nepal,NPL,2022,73,Global Peace,1.947,Medium,South Asia,
Nepal,NPL,2022,49,Fragile States,80.6,Medium,South Asia,
Eswatini (Kingdom of),SWZ,2021,144,Human Development,0.597,Medium,Sub-Saharan Africa,
eSwatini,SWZ,2023,68,Passport Access,74.0,Medium,Sub-Saharan Africa,
Eswatini,SWZ,2022,93,Global Peace,2.033,Medium,Sub-Saharan Africa,
Swaziland,SWZ,2022,52,Fragile States,80.4,Medium,Sub-Saharan Africa,
Equatorial Guinea,GNQ,2021,145,Human Development,0.596,Medium,Sub-Saharan Africa,
Equatorial Guinea,GNQ,2023,86,Passport Access,55.0,Medium,Sub-Saharan Africa,
Equatorial Guinea,GNQ,2022,59,Global Peace,1.863,Medium,Sub-Saharan Africa,
Equatorial Guinea,GNQ,2022,39,Fragile States,84.1,Medium,Sub-Saharan Africa,
Cambodia,KHM,2021,146,Human Development,0.593,Medium,East Asia & Pacific,
Cambodia,KHM,2023,87,Passport Access,54.0,Medium,East Asia & Pacific,
Cambodia,KHM,2022,62,Global Peace,1.882,Medium,East Asia & Pacific,
Cambodia,KHM,2022,50,Fragile States,80.5,Medium,East Asia & Pacific,
Zimbabwe,ZWE,2021,146,Human Development,0.593,Medium,Sub-Saharan Africa,
Zimbabwe,ZWE,2023,77,Passport Access,65.0,Medium,Sub-Saharan Africa,
Zimbabwe,ZWE,2022,127,Global Peace,2.35,Medium,Sub-Saharan Africa,
Zimbabwe,ZWE,2022,15,Fragile States,97.8,Medium,Sub-Saharan Africa,
Angola,AGO,2021,148,Human Development,0.586,Medium,Sub-Saharan Africa,
Angola,AGO,2023,91,Passport Access,50.0,Medium,Sub-Saharan Africa,
Angola,AGO,2022,78,Global Peace,1.982,Medium,Sub-Saharan Africa,
Angola,AGO,2022,35,Fragile States,88.1,Medium,Sub-Saharan Africa,
Myanmar,MMR,2021,149,Human Development,0.585,Medium,East Asia & Pacific,
Myanmar,MMR,2023,94,Passport Access,47.0,Medium,East Asia & Pacific,
Myanmar,MMR,2022,139,Global Peace,2.631,Medium,East Asia & Pacific,
Myanmar,MMR,2022,10,Fragile States,100.0,Medium,East Asia & Pacific,
Syrian Arab Republic,SYR,2021,150,Human Development,0.577,Medium,Middle East & North Africa,
Syria,SYR,2023,106,Passport Access,30.0,Medium,Middle East & North Africa,
Syria,SYR,2022,161,Global Peace,3.356,Medium,Middle East & North Africa,
Syria,SYR,2022,3,Fragile States,108.4,Medium,Middle East & North Africa,
Cameroon,CMR,2021,151,Human Development,0.576,Medium,Sub-Saharan Africa,
Cameroon,CMR,2023,90,Passport Access,51.0,Medium,Sub-Saharan Africa,
Cameroon,CMR,2022,142,Global Peace,2.709,Medium,Sub-Saharan Africa,
Cameroon,CMR,2022,17,Fragile States,96.0,Medium,Sub-Saharan Africa,
Kenya,KEN,2021,152,Human Development,0.575,Medium,Sub-Saharan Africa,
Kenya,KEN,2023,69,Passport Access,73.0,Medium,Sub-Saharan Africa,
Kenya,KEN,2022,120,Global Peace,2.303,Medium,Sub-Saharan Africa,
Kenya,KEN,2022,33,Fragile States,88.2,Medium,Sub-Saharan Africa,
Congo,COG,2021,153,Human Development,0.571,Medium,Sub-Saharan Africa,
Republic of the Congo,COG,2023,92,Passport Access,49.0,Medium,Sub-Saharan Africa,
Republic of the Congo,COG,2022,111,Global Peace,2.184,Medium,Sub-Saharan Africa,
Congo Republic,COG,2022,24,Fragile States,92.2,Medium,Sub-Saharan Africa,
Zambia,ZMB,2021,154,Human Development,0.565,Medium,Sub-Saharan Africa,
Zambia,ZMB,2023,72,Passport Access,70.0,Medium,Sub-Saharan Africa,
Zambia,ZMB,2022,56,Global Peace,1.841,Medium,Sub-Saharan Africa,
Zambia,ZMB,2022,42,Fragile States,83.6,Medium,Sub-Saharan Africa,
Solomon Islands,SLB,2021,155,Human Development,0.564,Medium,East Asia & Pacific,
Solomon Islands,SLB,2023,38,Passport Access,131.0,Medium,East Asia & Pacific,
Solomon Islands,SLB,2022,52,Fragile States,80.4,Medium,East Asia & Pacific,
Comoros,COM,2021,156,Human Development,0.558,Medium,Sub-Saharan Africa,
Comoro Islands,COM,2023,89,Passport Access,52.0,Medium,Sub-Saharan Africa,
Comoros,COM,2022,47,Fragile States,82.3,Medium,Sub-Saharan Africa,
Papua New Guinea,PNG,2021,156,Human Development,0.558,Medium,East Asia & Pacific,
Papua New Guinea,PNG,2023,62,Passport Access,82.0,Medium,East Asia & Pacific,
Papua New Guinea,PNG,2022,94,Global Peace,2.046,Medium,East Asia & Pacific,
Papua New Guinea,PNG,2022,55,Fragile States,79.5,Medium,East Asia & Pacific,
Mauritania,MRT,2021,158,Human Development,0.556,Medium,Sub-Saharan Africa,
Mauritania,MRT,2023,83,Passport Access,58.0,Medium,Sub-Saharan Africa,
Mauritania,MRT,2022,112,Global Peace,2.193,Medium,Sub-Saharan Africa,
Mauritania,MRT,2022,36,Fragile States,87.9,Medium,Sub-Saharan Africa,
Côte d'Ivoire,CIV,2021,159,Human Development,0.55,Medium,Sub-Saharan Africa,
Cote d'Ivoire,CIV,2023,85,Passport Access,56.0,Medium,Sub-Saharan Africa,
Cote d' Ivoire,CIV,2022,108,Global Peace,2.144,Medium,Sub-Saharan Africa,
Côte d'Ivoire,CIV,2022,31,Fragile States,89.6,Medium,Sub-Saharan Africa,
Tanzania (United Republic of),TZA,2021,160,Human Development,0.549,Low,Sub-Saharan Africa,
Tanzania,TZA,2023,71,Passport Access,71.0,Low,Sub-Saharan Africa,
Tanzania,TZA,2022,86,Global Peace,2.001,Low,Sub-Saharan Africa,
Tanzania,TZA,2022,61,Fragile States,78.2,Low,Sub-Saharan Africa,
Pakistan,PAK,2021,161,Human Development,0.544,Low,South Asia,
Pakistan,PAK,2023,105,Passport Access,32.0,Low,South Asia,
Pakistan,PAK,2022,147,Global Peace,2.789,Low,South Asia,
Pakistan,PAK,2022,30,Fragile States,89.7,Low,South Asia,
Togo,TGO,2021,162,Human Development,0.539,Low,Sub-Saharan Africa,
Togo,TGO,2023,87,Passport Access,54.0,Low,Sub-Saharan Africa,
Togo,TGO,2022,102,Global Peace,2.094,Low,Sub-Saharan Africa,
Togo,TGO,2022,42,Fragile States,83.6,Low,Sub-Saharan Africa,
Haiti,HTI,2021,163,Human Development,0.535,Low,Latin America & Caribbean,
Haiti,HTI,2023,93,Passport Access,48.0,Low,Latin America & Caribbean,
Haiti,HTI,2022,115,Global Peace,2.254,Low,Latin America & Caribbean,
Haiti,HTI,2022,11,Fragile States,99.7,Low,Latin America & Caribbean,
Nigeria,NGA,2021,163,Human Development,0.535,Low,Sub-Saharan Africa,
Nigeria,NGA,2023,95,Passport Access,46.0,Low,Sub-Saharan Africa,
Nigeria,NGA,2022,143,Global Peace,2.725,Low,Sub-Saharan Africa,
Nigeria,NGA,2022,16,Fragile States,97.2,Low,Sub-Saharan Africa,
Rwanda,RWA,2021,165,Human Development,0.534,Low,Sub-Saharan Africa,
Rwanda,RWA,2023,81,Passport Access,60.0,Low,Sub-Saharan Africa,
Rwanda,RWA,2022,72,Global Peace,1.945,Low,Sub-Saharan Africa,
Rwanda,RWA,2022,41,Fragile States,83.7,Low,Sub-Saharan Africa,
Benin,BEN,2021,166,Human Development,0.525,Low,Sub-Saharan Africa,
Benin,BEN,2023,81,Passport Access,60.0,Low,Sub-Saharan Africa,
Benin,BEN,2022,105,Global Peace,2.125,Low,Sub-Saharan Africa,
Benin,BEN,2022,76,Fragile States,72.5,Low,Sub-Saharan Africa,
Uganda,UGA,2021,166,Human Development,0.525,Low,Sub-Saharan Africa,
Uganda,UGA,2023,76,Passport Access,66.0,Low,Sub-Saharan Africa,
Uganda,UGA,2022,121,Global Peace,2.309,Low,Sub-Saharan Africa,
Uganda,UGA,2022,25,Fragile States,92.1,Low,Sub-Saharan Africa,
Lesotho,LSO,2021,168,Human Development,0.514,Low,Sub-Saharan Africa,
Lesotho,LSO,2023,66,Passport Access,77.0,Low,Sub-Saharan Africa,
Lesotho,LSO,2022,100,Global Peace,2.089,Low,Sub-Saharan Africa,
Lesotho,LSO,2022,65,Fragile States,77.4,Low,Sub-Saharan Africa,
Malawi,MWI,2021,169,Human Development,0.512,Low,Sub-Saharan Africa,
Malawi,MWI,2023,69,Passport Access,73.0,Low,Sub-Saharan Africa,
Malawi,MWI,2022,65,Global Peace,1.895,Low,Sub-Saharan Africa,
Malawi,MWI,2022,45,Fragile States,83.0,Low,Sub-Saharan Africa,
Senegal,SEN,2021,170,Human Development,0.511,Low,Sub-Saharan Africa,
Senegal,SEN,2023,85,Passport Access,56.0,Low,Sub-Saharan Africa,
Senegal,SEN,2022,70,Global Peace,1.916,Low,Sub-Saharan Africa,
Senegal,SEN,2022,78,Fragile States,72.1,Low,Sub-Saharan Africa,
Djibouti,DJI,2021,171,Human Development,0.509,Low,Middle East & North Africa,
Djibouti,DJI,2023,93,Passport Access,48.0,Low,Middle East & North Africa,
Djibouti,DJI,2022,113,Global Peace,2.213,Low,Middle East & North Africa,
Djibouti,DJI,2022,48,Fragile States,81.3,Low,Middle East & North Africa,
Sudan,SDN,2021,172,Human Development,0.508,Low,Sub-Saharan Africa,
Sudan,SDN,2023,98,Passport Access,42.0,Low,Sub-Saharan Africa,
Sudan,SDN,2022,154,Global Peace,3.007,Low,Sub-Saharan Africa,
Sudan,SDN,2022,7,Fragile States,107.1,Low,Sub-Saharan Africa,
Madagascar,MDG,2021,173,Human Development,0.501,Low,Sub-Saharan Africa,
Madagascar,MDG,2023,87,Passport Access,54.0,Low,Sub-Saharan Africa,
Madagascar,MDG,2022,84,Global Peace,1.995,Low,Sub-Saharan Africa,
Madagascar,MDG,2022,52,Fragile States,80.4,Low,Sub-Saharan Africa,
Gambia,GMB,2021,174,Human Development,0.5,Low,Sub-Saharan Africa,
The Gambia,GMB,2023,74,Passport Access,68.0,Low,Sub-Saharan Africa,
The Gambia,GMB,2022,45,Global Peace,1.792,Low,Sub-Saharan Africa,
Gambia,GMB,2022,59,Fragile States,78.6,Low,Sub-Saharan Africa,
Ethiopia,ETH,2021,175,Human Development,0.498,Low,Sub-Saharan Africa,
Ethiopia,ETH,2023,95,Passport Access,46.0,Low,Sub-Saharan Africa,
Ethiopia,ETH,2022,149,Global Peace,2.806,Low,Sub-Saharan Africa,
Ethiopia,ETH,2022,13,Fragile States,99.3,Low,Sub-Saharan Africa,
Eritrea,ERI,2021,176,Human Development,0.492,Low,Sub-Saharan Africa,
Eritrea,ERI,2023,96,Passport Access,45.0,Low,Sub-Saharan Africa,
Eritrea,ERI,2022,132,Global Peace,2.494,Low,Sub-Saharan Africa,
Eritrea,ERI,2022,18,Fragile States,95.9,Low,Sub-Saharan Africa,
Guinea-Bissau,GNB,2021,177,Human Development,0.483,Low,Sub-Saharan Africa,
Guinea-Bissau,GNB,2023,89,Passport Access,52.0,Low,Sub-Saharan Africa,
Guinea-Bissau,GNB,2022,110,Global Peace,2.156,Low,Sub-Saharan Africa,
Guinea Bissau,GNB,2022,27,Fragile States,91.3,Low,Sub-Saharan Africa,
Liberia,LBR,2021,178,Human Development,0.481,Low,Sub-Saharan Africa,
Liberia,LBR,2023,92,Passport Access,49.0,Low,Sub-Saharan Africa,
Liberia,LBR,2022,75,Global Peace,1.973,Low,Sub-Saharan Africa,
Liberia,LBR,2022,33,Fragile States,88.2,Low,Sub-Saharan Africa,
Congo (Democratic Republic of the),COD,2021,179,Human Development,0.479,Low,Sub-Saharan Africa,
Democratic Republic of the Congo,COD,2023,98,Passport Access,42.0,Low,Sub-Saharan Africa,
Democratic Republic of the Congo,COD,2022,158,Global Peace,3.166,Low,Sub-Saharan Africa,
Congo Democratic Republic,COD,2022,6,Fragile States,107.3,Low,Sub-Saharan Africa,
Afghanistan,AFG,2021,180,Human Development,0.478,Low,South Asia,
Afghanistan,AFG,2023,108,Passport Access,27.0,Low,South Asia,
Afghanistan,AFG,2022,163,Global Peace,3.554,Low,South Asia,
Afghanistan,AFG,2022,8,Fragile States,105.9,Low,South Asia,
Sierra Leone,SLE,2021,181,Human Development,0.477,Low,Sub-Saharan Africa,
Sierra Leone,SLE,2023,78,Passport Access,64.0,Low,Sub-Saharan Africa,
Sierra Leone,SLE,2022,50,Global Peace,1.803,Low,Sub-Saharan Africa,
Sierra Leone,SLE,2022,46,Fragile States,82.4,Low,Sub-Saharan Africa,
Guinea,GIN,2021,182,Human Development,0.465,Low,Sub-Saharan Africa,
Guinea,GIN,2023,86,Passport Access,55.0,Low,Sub-Saharan Africa,
Guinea,GIN,2022,123,Global Peace,2.332,Low,Sub-Saharan Africa,
Guinea,GIN,2022,12,Fragile States,99.6,Low,Sub-Saharan Africa,
Yemen,YEM,2021,183,Human Development,0.455,Low,Middle East & North Africa,
Yemen,YEM,2023,104,Passport Access,34.0,Low,Middle East & North Africa,
Yemen,YEM,2022,162,Global Peace,3.394,Low,Middle East & North Africa,
Yemen,YEM,2022,1,Fragile States,111.7,Low,Middle East & North Africa,
Burkina Faso,BFA,2021,184,Human Development,0.449,Low,Sub-Saharan Africa,
Burkina Faso,BFA,2023,84,Passport Access,57.0,Low,Sub-Saharan Africa,
Burkina Faso,BFA,2022,146,Global Peace,2.786,Low,Sub-Saharan Africa,
Burkina Faso,BFA,2022,29,Fragile States,90.5,Low,Sub-Saharan Africa,
Mozambique,MOZ,2021,185,Human Development,0.446,Low,Sub-Saharan Africa,
Mozambique,MOZ,2023,80,Passport Access,61.0,Low,Sub-Saharan Africa,
Mozambique,MOZ,2022,122,Global Peace,2.316,Low,Sub-Saharan Africa,
Mozambique,MOZ,2022,21,Fragile States,94.3,Low,Sub-Saharan Africa,
Mali,MLI,2021,186,Human Development,0.428,Low,Sub-Saharan Africa,
Mali,MLI,2023,88,Passport Access,53.0,Low,Sub-Saharan Africa,
Mali,MLI,2022,150,Global Peace,2.911,Low,Sub-Saharan Africa,
Mali,MLI,2022,14,Fragile States,98.6,Low,Sub-Saharan Africa,
Burundi,BDI,2021,187,Human Development,0.426,Low,Sub-Saharan Africa,
Burundi,BDI,2023,92,Passport Access,49.0,Low,Sub-Saharan Africa,
Burundi,BDI,2022,131,Global Peace,2.47,Low,Sub-Saharan Africa,
Burundi,BDI,2022,19,Fragile States,95.4,Low,Sub-Saharan Africa,
Central African Republic,CAF,2021,188,Human Development,0.404,Low,Sub-Saharan Africa,
Central African Republic,CAF,2023,89,Passport Access,52.0,Low,Sub-Saharan Africa,
Central African Republic,CAF,2022,155,Global Peace,3.021,Low,Sub-Saharan Africa,
